,Date,Time,Home_Team,Home_Pts,Away_Team,Away_Points
0,2024-01-11,10:00p,PHO,,LAL,
0,2024-01-12,7:00p,SAC,,PHI,
0,2024-01-12,7:30p,IND,,ATL,
0,2024-01-12,7:30p,HOU,,DET,
0,2024-01-12,8:00p,GSW,,CHI,
0,2024-01-12,8:00p,LAC,,MEM,
0,2024-01-12,8:00p,ORL,,MIA,
0,2024-01-12,8:00p,POR,,MIN,
0,2024-01-12,9:00p,NOP,,DEN,
0,2024-01-12,9:30p,TOR,,UTA,
0,2024-01-12,10:00p,CHO,,SAS,
0,2024-01-13,7:00p,HOU,,BOS,
0,2024-01-13,7:30p,WAS,,ATL,
0,2024-01-13,8:00p,NYK,,MEM,
0,2024-01-13,8:00p,GSW,,MIL,
0,2024-01-13,8:00p,ORL,,OKC,
0,2024-01-13,8:30p,NOP,,DAL,
0,2024-01-13,8:30p,CHI,,SAS,
0,2024-01-13,9:30p,LAL,,UTA,
0,2024-01-14,3:30p,IND,,DEN,
0,2024-01-14,6:00p,CHO,,MIA,
0,2024-01-14,7:00p,SAC,,MIL,
0,2024-01-14,7:00p,LAC,,MIN,
0,2024-01-14,9:00p,PHO,,POR,
0,2024-01-15,1:00p,HOU,,PHI,
0,2024-01-15,2:30p,NOP,,DAL,
0,2024-01-15,3:00p,ORL,,NYK,
0,2024-01-15,3:00p,DET,,WAS,
0,2024-01-15,3:30p,SAS,,ATL,
0,2024-01-15,6:00p,GSW,,MEM,
0,2024-01-15,7:00p,CHI,,CLE,
0,2024-01-15,7:30p,MIA,,BRK,
0,2024-01-15,7:30p,BOS,,TOR,
0,2024-01-15,9:00p,IND,,UTA,
0,2024-01-15,10:30p,OKC,,LAL,
0,2024-01-16,7:30p,DEN,,PHI,
